Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Crimes in the Sphere of Economic Activity,Rostov Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Sevastopol,2009,,,False
Crimes in the Sphere of Economic Activity,Republic of Bashkortostan,2009,,,False
Crimes in the Sphere of Economic Activity,Mari El Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Republic of Mordovia,2009,,,False
Crimes in the Sphere of Economic Activity,Republic of Tatarstan,2009,,,False
Crimes in the Sphere of Economic Activity,Udmurt Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Chuvash Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Perm Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Kirov Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Nizhny Novgorod Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Orenburg Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Penza Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Samara Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Saratov Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Ulyanovsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Kurgan Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Sverdlovsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Tyumen Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Khanty–Mansi Autonomous Okrug – Yugra,2009,,,False
Crimes in the Sphere of Economic Activity,Yamalo-Nenets Autonomous Okrug,2009,,,False
Crimes in the Sphere of Economic Activity,Chelyabinsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Altai Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Republic of Buryatia,2009,,,False
Crimes in the Sphere of Economic Activity,Tuva Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Republic of Khakassia,2009,,,False
Crimes in the Sphere of Economic Activity,Altai Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Zabaykalsky Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Krasnoyarsk Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Irkutsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Kemerovo Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Novosibirsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Omsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Tomsk Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Sakha (Yakutia) Republic,2009,,,False
Crimes in the Sphere of Economic Activity,Kamchatka Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Primorsky Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Khabarovsk Krai,2009,,,False
Crimes in the Sphere of Economic Activity,Amur Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Magadan Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Sakhalin Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Jewish Autonomous Oblast,2009,,,False
Crimes in the Sphere of Economic Activity,Chukotka Autonomous Okrug,2009,,,False
Murder,Russian Federation,2010,15324.0,10.7,True
Murder,Belgorod Oblast,2010,81.0,5.3,False
Murder,Bryansk Oblast,2010,127.0,9.9,False
Murder,Vladimir Oblast,2010,163.0,11.2,False
Murder,Voronezh Oblast,2010,135.0,5.8,False
Murder,Ivanovo Oblast,2010,111.0,10.4,False
Murder,Kaluga Oblast,2010,109.0,10.7,False
Murder,Kostroma Oblast,2010,54.0,8.0,False
Murder,Kursk Oblast,2010,69.0,6.1,False
Murder,Lipetsk Oblast,2010,98.0,8.3,False
Murder,Moscow Oblast,2010,731.0,10.4,False
Murder,Oryol Oblast,2010,61.0,7.7,False
Murder,Ryazan Oblast,2010,94.0,8.1,False
Murder,Smolensk Oblast,2010,89.0,9.0,False
Murder,Tambov Oblast,2010,78.0,7.1,False
Murder,Tver Oblast,2010,153.0,11.2,False
Murder,Tula Oblast,2010,151.0,9.7,False
Murder,Yaroslavl Oblast,2010,96.0,7.5,False
Murder,Moscow,2010,573.0,5.0,False
Murder,Republic of Karelia,2010,72.0,11.1,False
Murder,Komi Republic,2010,146.0,16.0,False
Murder,Arkhangelsk Oblast,2010,152.0,12.7,False
Murder,Nenets Autonomous Okrug,2010,9.0,21.4,False
Murder,Vologda Oblast,2010,143.0,11.8,False
Murder,Kaliningrad Oblast,2010,94.0,10.0,False
Murder,Leningrad Oblast,2010,254.0,14.9,False
Murder,Murmansk Oblast,2010,74.0,9.3,False
Murder,Novgorod Oblast,2010,94.0,14.7,False
Murder,Pskov Oblast,2010,71.0,10.4,False
Murder,Saint Petersburg,2010,423.0,8.8,False
Murder,Republic of Dagestan,2010,293.0,10.2,False
Murder,Republic of Ingushetia,2010,60.0,14.6,False
Murder,Kabardino-Balkar Republic,2010,93.0,10.8,False
Murder,Karachay-Cherkess Republic,2010,45.0,9.5,False
Murder,Republic of North Ossetia-Alania,2010,49.0,6.9,False
Murder,Chechen Republic,2010,101.0,8.1,False
Murder,Stavropol Krai,2010,218.0,7.8,False
Murder,Republic of Adygea,2010,26.0,5.9,False
Murder,Republic of Kalmykia,2010,33.0,11.4,False
Murder,Republic of Crimea,2010,,,False
Murder,Krasnodar Krai,2010,388.0,7.4,False
Murder,Astrakhan Oblast,2010,105.0,10.4,False
Murder,Volgograd Oblast,2010,254.0,9.7,False
Murder,Rostov Oblast,2010,298.0,7.0,False
Murder,Sevastopol,2010,,,False
Murder,Republic of Bashkortostan,2010,402.0,9.9,False
Murder,Mari El Republic,2010,113.0,16.2,False
Murder,Republic of Mordovia,2010,42.0,5.0,False
Murder,Republic of Tatarstan,2010,266.0,7.0,False
Murder,Udmurt Republic,2010,146.0,9.6,False
Murder,Chuvash Republic,2010,100.0,8.0,False
Murder,Perm Krai,2010,446.0,16.8,False
Murder,Kirov Oblast,2010,125.0,9.2,False
Murder,Nizhny Novgorod Oblast,2010,273.0,8.2,False
Murder,Orenburg Oblast,2010,272.0,13.3,False
Murder,Penza Oblast,2010,82.0,5.9,False
Murder,Samara Oblast,2010,326.0,10.1,False
Murder,Saratov Oblast,2010,181.0,7.1,False
Murder,Ulyanovsk Oblast,2010,126.0,9.7,False
Murder,Kurgan Oblast,2010,155.0,16.9,False
Murder,Sverdlovsk Oblast,2010,534.0,12.4,False
Murder,Tyumen Oblast,2010,192.0,14.4,False
Murder,Khanty–Mansi Autonomous Okrug – Yugra,2010,179.0,11.8,False
Murder,Yamalo-Nenets Autonomous Okrug,2010,79.0,15.1,False
Murder,Chelyabinsk Oblast,2010,464.0,13.3,False
Murder,Altai Republic,2010,42.0,20.4,False
Murder,Republic of Buryatia,2010,241.0,24.9,False
Murder,Tuva Republic,2010,170.0,55.3,False
Murder,Republic of Khakassia,2010,73.0,13.7,False
Murder,Altai Krai,2010,263.0,10.8,False
Murder,Zabaykalsky Krai,2010,384.0,34.6,False
Murder,Krasnoyarsk Krai,2010,392.0,13.8,False
Murder,Irkutsk Oblast,2010,538.0,22.0,False
Murder,Kemerovo Oblast,2010,462.0,16.7,False
Murder,Novosibirsk Oblast,2010,284.0,10.7,False
Murder,Omsk Oblast,2010,174.0,8.8,False
Murder,Tomsk Oblast,2010,132.0,12.7,False
Murder,Sakha (Yakutia) Republic,2010,180.0,18.8,False
Murder,Kamchatka Krai,2010,44.0,13.6,False
Murder,Primorsky Krai,2010,332.0,16.9,False
Murder,Khabarovsk Krai,2010,262.0,19.4,False
Murder,Amur Oblast,2010,150.0,18.0,False
Murder,Magadan Oblast,2010,30.0,18.9,False
Murder,Sakhalin Oblast,2010,71.0,14.2,False
Murder,Jewish Autonomous Oblast,2010,30.0,16.9,False
Murder,Chukotka Autonomous Okrug,2010,9.0,17.6,False
Intentional Bodily Harm,Russian Federation,2010,39745.0,27.8,True
Intentional Bodily Harm,Belgorod Oblast,2010,196.0,12.8,False
Intentional Bodily Harm,Bryansk Oblast,2010,272.0,21.1,False
Intentional Bodily Harm,Vladimir Oblast,2010,388.0,26.8,False
Intentional Bodily Harm,Voronezh Oblast,2010,354.0,15.2,False
Intentional Bodily Harm,Ivanovo Oblast,2010,300.0,28.1,False
Intentional Bodily Harm,Kaluga Oblast,2010,230.0,22.7,False
Intentional Bodily Harm,Kostroma Oblast,2010,153.0,22.7,False
Intentional Bodily Harm,Kursk Oblast,2010,234.0,20.6,False
Intentional Bodily Harm,Lipetsk Oblast,2010,209.0,17.8,False
Intentional Bodily Harm,Moscow Oblast,2010,1687.0,24.0,False
Intentional Bodily Harm,Oryol Oblast,2010,133.0,16.8,False
Intentional Bodily Harm,Ryazan Oblast,2010,200.0,17.2,False
Intentional Bodily Harm,Smolensk Oblast,2010,257.0,25.9,False
Intentional Bodily Harm,Tambov Oblast,2010,208.0,18.9,False
Intentional Bodily Harm,Tver Oblast,2010,387.0,28.3,False
Intentional Bodily Harm,Tula Oblast,2010,374.0,23.9,False
Intentional Bodily Harm,Yaroslavl Oblast,2010,322.0,25.2,False
Intentional Bodily Harm,Moscow,2010,1377.0,12.1,False
Intentional Bodily Harm,Republic of Karelia,2010,189.0,29.1,False
Intentional Bodily Harm,Komi Republic,2010,347.0,38.0,False
Intentional Bodily Harm,Arkhangelsk Oblast,2010,358.0,29.9,False
Intentional Bodily Harm,Nenets Autonomous Okrug,2010,18.0,42.7,False
Intentional Bodily Harm,Vologda Oblast,2010,404.0,33.4,False
Intentional Bodily Harm,Kaliningrad Oblast,2010,184.0,19.6,False
Intentional Bodily Harm,Leningrad Oblast,2010,474.0,27.8,False
Intentional Bodily Harm,Murmansk Oblast,2010,253.0,31.6,False
Intentional Bodily Harm,Novgorod Oblast,2010,171.0,26.7,False
Intentional Bodily Harm,Pskov Oblast,2010,204.0,29.9,False
Intentional Bodily Harm,Saint Petersburg,2010,585.0,12.1,False
Intentional Bodily Harm,Republic of Dagestan,2010,156.0,5.4,False
Intentional Bodily Harm,Republic of Ingushetia,2010,21.0,5.1,False
Intentional Bodily Harm,Kabardino-Balkar Republic,2010,95.0,11.1,False
Intentional Bodily Harm,Karachay-Cherkess Republic,2010,72.0,15.2,False
Intentional Bodily Harm,Republic of North Ossetia-Alania,2010,75.0,10.5,False
Intentional Bodily Harm,Chechen Republic,2010,18.0,1.4,False
Intentional Bodily Harm,Stavropol Krai,2010,520.0,18.7,False
Intentional Bodily Harm,Republic of Adygea,2010,71.0,16.1,False
Intentional Bodily Harm,Republic of Kalmykia,2010,65.0,22.4,False
Intentional Bodily Harm,Republic of Crimea,2010,,,False
Intentional Bodily Harm,Krasnodar Krai,2010,971.0,18.6,False
Intentional Bodily Harm,Astrakhan Oblast,2010,241.0,23.8,False
Intentional Bodily Harm,Volgograd Oblast,2010,610.0,23.3,False
Intentional Bodily Harm,Rostov Oblast,2010,742.0,17.3,False
Intentional Bodily Harm,Sevastopol,2010,,,False
Intentional Bodily Harm,Republic of Bashkortostan,2010,1093.0,26.9,False
Intentional Bodily Harm,Mari El Republic,2010,196.0,28.0,False
Intentional Bodily Harm,Republic of Mordovia,2010,157.0,18.7,False
Intentional Bodily Harm,Republic of Tatarstan,2010,717.0,18.9,False
Intentional Bodily Harm,Udmurt Republic,2010,531.0,34.8,False
Intentional Bodily Harm,Chuvash Republic,2010,265.0,21.1,False
Intentional Bodily Harm,Perm Krai,2010,1377.0,52.0,False
Intentional Bodily Harm,Kirov Oblast,2010,341.0,25.2,False
Intentional Bodily Harm,Nizhny Novgorod Oblast,2010,723.0,21.7,False
Intentional Bodily Harm,Orenburg Oblast,2010,678.0,33.2,False
Intentional Bodily Harm,Penza Oblast,2010,199.0,14.3,False
Intentional Bodily Harm,Samara Oblast,2010,757.0,23.5,False
Intentional Bodily Harm,Saratov Oblast,2010,410.0,16.2,False
Intentional Bodily Harm,Ulyanovsk Oblast,2010,355.0,27.3,False
Intentional Bodily Harm,Kurgan Oblast,2010,340.0,37.0,False
Intentional Bodily Harm,Sverdlovsk Oblast,2010,1539.0,35.7,False
Intentional Bodily Harm,Tyumen Oblast,2010,663.0,49.7,False
Intentional Bodily Harm,Khanty–Mansi Autonomous Okrug – Yugra,2010,515.0,33.9,False
Intentional Bodily Harm,Yamalo-Nenets Autonomous Okrug,2010,179.0,34.2,False
Intentional Bodily Harm,Chelyabinsk Oblast,2010,1350.0,38.8,False
Intentional Bodily Harm,Altai Republic,2010,122.0,59.4,False
Intentional Bodily Harm,Republic of Buryatia,2010,530.0,54.7,False
Intentional Bodily Harm,Tuva Republic,2010,602.0,195.9,False
Intentional Bodily Harm,Republic of Khakassia,2010,224.0,42.0,False
Intentional Bodily Harm,Altai Krai,2010,848.0,34.9,False
Intentional Bodily Harm,Zabaykalsky Krai,2010,854.0,77.0,False
Intentional Bodily Harm,Krasnoyarsk Krai,2010,1351.0,47.7,False
Intentional Bodily Harm,Irkutsk Oblast,2010,1595.0,65.4,False
Intentional Bodily Harm,Kemerovo Oblast,2010,1831.0,66.0,False
Intentional Bodily Harm,Novosibirsk Oblast,2010,863.0,32.4,False
Intentional Bodily Harm,Omsk Oblast,2010,605.0,30.5,False
Intentional Bodily Harm,Tomsk Oblast,2010,443.0,42.6,False
Intentional Bodily Harm,Sakha (Yakutia) Republic,2010,665.0,69.4,False
Intentional Bodily Harm,Kamchatka Krai,2010,103.0,31.9,False
Intentional Bodily Harm,Primorsky Krai,2010,845.0,43.0,False
Intentional Bodily Harm,Khabarovsk Krai,2010,697.0,51.7,False
Intentional Bodily Harm,Amur Oblast,2010,405.0,48.5,False
Intentional Bodily Harm,Magadan Oblast,2010,94.0,59.1,False
Intentional Bodily Harm,Sakhalin Oblast,2010,209.0,41.7,False
Intentional Bodily Harm,Jewish Autonomous Oblast,2010,109.0,61.4,False
Intentional Bodily Harm,Chukotka Autonomous Okrug,2010,54.0,105.5,False
Rape,Russian Federation,2010,4907.0,3.4,True
Rape,Belgorod Oblast,2010,11.0,0.7,False
Rape,Bryansk Oblast,2010,35.0,2.7,False
Rape,Vladimir Oblast,2010,45.0,3.1,False
Rape,Voronezh Oblast,2010,33.0,1.4,False
Rape,Ivanovo Oblast,2010,30.0,2.8,False
Rape,Kaluga Oblast,2010,55.0,5.4,False
Rape,Kostroma Oblast,2010,34.0,5.1,False
Rape,Kursk Oblast,2010,32.0,2.8,False
Rape,Lipetsk Oblast,2010,14.0,1.2,False
Rape,Moscow Oblast,2010,183.0,2.6,False
Rape,Oryol Oblast,2010,11.0,1.4,False
Rape,Ryazan Oblast,2010,23.0,2.0,False
Rape,Smolensk Oblast,2010,37.0,3.7,False
Rape,Tambov Oblast,2010,31.0,2.8,False
Rape,Tver Oblast,2010,55.0,4.0,False
Rape,Tula Oblast,2010,43.0,2.7,False
Rape,Yaroslavl Oblast,2010,38.0,3.0,False
Rape,Moscow,2010,372.0,3.3,False
Rape,Republic of Karelia,2010,13.0,2.0,False
Rape,Komi Republic,2010,51.0,5.6,False
Rape,Arkhangelsk Oblast,2010,71.0,5.9,False
Rape,Nenets Autonomous Okrug,2010,1.0,2.4,False
Rape,Vologda Oblast,2010,31.0,2.6,False
Rape,Kaliningrad Oblast,2010,18.0,1.9,False
Rape,Leningrad Oblast,2010,45.0,2.6,False
Rape,Murmansk Oblast,2010,6.0,0.8,False
Rape,Novgorod Oblast,2010,20.0,3.1,False
Rape,Pskov Oblast,2010,12.0,1.8,False
Rape,Saint Petersburg,2010,64.0,1.3,False
Rape,Republic of Dagestan,2010,40.0,1.4,False
Rape,Republic of Ingushetia,2010,2.0,0.5,False
Rape,Kabardino-Balkar Republic,2010,34.0,4.0,False
Rape,Karachay-Cherkess Republic,2010,32.0,6.8,False
Rape,Republic of North Ossetia-Alania,2010,21.0,3.0,False
Rape,Chechen Republic,2010,14.0,1.1,False
Rape,Stavropol Krai,2010,77.0,2.8,False
Rape,Republic of Adygea,2010,20.0,4.5,False
Rape,Republic of Kalmykia,2010,8.0,2.8,False
Rape,Republic of Crimea,2010,,,False
Rape,Krasnodar Krai,2010,137.0,2.6,False
Rape,Astrakhan Oblast,2010,85.0,8.4,False
Rape,Volgograd Oblast,2010,112.0,4.3,False
Rape,Rostov Oblast,2010,94.0,2.2,False
Rape,Sevastopol,2010,,,False
Rape,Republic of Bashkortostan,2010,159.0,3.9,False
Rape,Mari El Republic,2010,20.0,2.9,False
Rape,Republic of Mordovia,2010,14.0,1.7,False
Rape,Republic of Tatarstan,2010,83.0,2.2,False
Rape,Udmurt Republic,2010,93.0,6.1,False
Rape,Chuvash Republic,2010,67.0,5.3,False
Rape,Perm Krai,2010,171.0,6.5,False
Rape,Kirov Oblast,2010,33.0,2.4,False
Rape,Nizhny Novgorod Oblast,2010,153.0,4.6,False
Rape,Orenburg Oblast,2010,50.0,2.4,False
Rape,Penza Oblast,2010,57.0,4.1,False
Rape,Samara Oblast,2010,66.0,2.0,False
Rape,Saratov Oblast,2010,65.0,2.6,False
Rape,Ulyanovsk Oblast,2010,44.0,3.4,False
Rape,Kurgan Oblast,2010,65.0,7.1,False
Rape,Sverdlovsk Oblast,2010,251.0,5.8,False
Rape,Tyumen Oblast,2010,86.0,6.4,False
Rape,Khanty–Mansi Autonomous Okrug – Yugra,2010,45.0,3.0,False
Rape,Yamalo-Nenets Autonomous Okrug,2010,19.0,3.6,False
Rape,Chelyabinsk Oblast,2010,110.0,3.2,False
Rape,Altai Republic,2010,36.0,17.5,False
Rape,Republic of Buryatia,2010,51.0,5.3,False
Rape,Tuva Republic,2010,101.0,32.9,False
Rape,Republic of Khakassia,2010,19.0,3.6,False
Rape,Altai Krai,2010,82.0,3.4,False
Rape,Zabaykalsky Krai,2010,93.0,8.4,False
Rape,Krasnoyarsk Krai,2010,136.0,4.8,False
Rape,Irkutsk Oblast,2010,91.0,3.7,False
Rape,Kemerovo Oblast,2010,84.0,3.0,False
Rape,Novosibirsk Oblast,2010,74.0,2.8,False
Rape,Omsk Oblast,2010,77.0,3.9,False
Rape,Tomsk Oblast,2010,43.0,4.1,False
Rape,Sakha (Yakutia) Republic,2010,41.0,4.3,False
Rape,Kamchatka Krai,2010,17.0,5.3,False
Rape,Primorsky Krai,2010,54.0,2.7,False
Rape,Khabarovsk Krai,2010,46.0,3.4,False
Rape,Amur Oblast,2010,43.0,5.2,False
Rape,Magadan Oblast,2010,9.0,5.7,False
Rape,Sakhalin Oblast,2010,6.0,1.2,False
Rape,Jewish Autonomous Oblast,2010,18.0,10.1,False
Rape,Chukotka Autonomous Okrug,2010,5.0,9.8,False
Theft,Russian Federation,2010,1108369.0,776.0,True
Theft,Belgorod Oblast,2010,6696.0,437.1,False
Theft,Bryansk Oblast,2010,8882.0,690.4,False
Theft,Vladimir Oblast,2010,12123.0,836.2,False
Theft,Voronezh Oblast,2010,12742.0,545.7,False
Theft,Ivanovo Oblast,2010,7889.0,738.8,False
Theft,Kaluga Oblast,2010,7328.0,722.0,False
Theft,Kostroma Oblast,2010,3508.0,521.3,False
Theft,Kursk Oblast,2010,8970.0,790.3,False
Theft,Lipetsk Oblast,2010,7465.0,634.2,False
Theft,Moscow Oblast,2010,46143.0,656.9,False
Theft,Oryol Oblast,2010,5043.0,635.8,False
Theft,Ryazan Oblast,2010,3646.0,313.8,False
Theft,Smolensk Oblast,2010,8292.0,835.0,False
Theft,Tambov Oblast,2010,4728.0,430.0,False
Theft,Tver Oblast,2010,14934.0,1093.8,False
Theft,Tula Oblast,2010,5513.0,352.3,False
Theft,Yaroslavl Oblast,2010,10849.0,847.5,False
Theft,Moscow,2010,94642.0,831.5,False
Theft,Republic of Karelia,2010,5220.0,804.7,False
Theft,Komi Republic,2010,6783.0,743.8,False
Theft,Arkhangelsk Oblast,2010,10715.0,896.4,False
Theft,Nenets Autonomous Okrug,2010,344.0,816.8,False
Theft,Vologda Oblast,2010,10697.0,885.2,False
Theft,Kaliningrad Oblast,2010,8042.0,856.8,False
Theft,Leningrad Oblast,2010,13050.0,765.4,False
Theft,Murmansk Oblast,2010,7673.0,959.4,False
Theft,Novgorod Oblast,2010,5393.0,843.1,False
Theft,Pskov Oblast,2010,5731.0,840.5,False
Theft,Saint Petersburg,2010,24268.0,502.2,False
Theft,Republic of Dagestan,2010,2573.0,89.7,False
Theft,Republic of Ingushetia,2010,189.0,45.9,False
Theft,Kabardino-Balkar Republic,2010,3196.0,371.8,False
Theft,Karachay-Cherkess Republic,2010,1382.0,291.7,False
Theft,Republic of North Ossetia-Alania,2010,1851.0,260.1,False
Theft,Chechen Republic,2010,531.0,42.5,False
Theft,Stavropol Krai,2010,13201.0,475.2,False
Theft,Republic of Adygea,2010,1916.0,435.7,False
Theft,Republic of Kalmykia,2010,884.0,305.2,False
Theft,Republic of Crimea,2010,,,False
Theft,Krasnodar Krai,2010,25858.0,495.9,False
Theft,Astrakhan Oblast,2010,7855.0,776.9,False
Theft,Volgograd Oblast,2010,16973.0,649.3,False
Theft,Rostov Oblast,2010,27664.0,645.6,False
Theft,Sevastopol,2010,,,False
Theft,Republic of Bashkortostan,2010,29368.0,721.8,False
Theft,Mari El Republic,2010,4107.0,587.2,False
Theft,Republic of Mordovia,2010,2314.0,275.7,False
Theft,Republic of Tatarstan,2010,26901.0,710.8,False
Theft,Udmurt Republic,2010,13662.0,895.8,False
Theft,Chuvash Republic,2010,5997.0,477.5,False
Theft,Perm Krai,2010,35180.0,1328.2,False
Theft,Kirov Oblast,2010,9225.0,682.0,False
Theft,Nizhny Novgorod Oblast,2010,38485.0,1156.8,False
Theft,Orenburg Oblast,2010,14139.0,692.4,False
Theft,Penza Oblast,2010,6920.0,497.0,False
Theft,Samara Oblast,2010,27815.0,863.6,False
Theft,Saratov Oblast,2010,17275.0,681.3,False
Theft,Ulyanovsk Oblast,2010,6345.0,487.4,False
Theft,Kurgan Oblast,2010,7888.0,858.7,False
Theft,Sverdlovsk Oblast,2010,38478.0,893.1,False
Theft,Tyumen Oblast,2010,16921.0,1269.0,False
Theft,Khanty–Mansi Autonomous Okrug – Yugra,2010,13292.0,873.8,False
Theft,Yamalo-Nenets Autonomous Okrug,2010,2930.0,559.0,False
Theft,Chelyabinsk Oblast,2010,39672.0,1139.4,False
Theft,Altai Republic,2010,1760.0,856.9,False
Theft,Republic of Buryatia,2010,12098.0,1247.6,False
Theft,Tuva Republic,2010,1606.0,522.6,False
Theft,Republic of Khakassia,2010,5958.0,1118.4,False
Theft,Altai Krai,2010,21168.0,870.8,False
Theft,Zabaykalsky Krai,2010,13376.0,1206.2,False
Theft,Krasnoyarsk Krai,2010,31261.0,1103.5,False
Theft,Irkutsk Oblast,2010,27589.0,1130.5,False
Theft,Kemerovo Oblast,2010,28467.0,1026.6,False
Theft,Novosibirsk Oblast,2010,27079.0,1017.4,False
Theft,Omsk Oblast,2010,14895.0,750.8,False
Theft,Tomsk Oblast,2010,14953.0,1437.4,False
Theft,Sakha (Yakutia) Republic,2010,7360.0,768.0,False
Theft,Kamchatka Krai,2010,1730.0,535.3,False
Theft,Primorsky Krai,2010,22538.0,1146.9,False
Theft,Khabarovsk Krai,2010,14644.0,1085.4,False
Theft,Amur Oblast,2010,8475.0,1015.1,False
Theft,Magadan Oblast,2010,1166.0,733.3,False
Theft,Sakhalin Oblast,2010,4393.0,876.4,False
Theft,Jewish Autonomous Oblast,2010,1781.0,1003.4,False
Theft,Chukotka Autonomous Okrug,2010,304.0,594.0,False
Robbery without violence,Russian Federation,2010,164547.0,115.2,True
Robbery without violence,Belgorod Oblast,2010,746.0,48.7,False
Robbery without violence,Bryansk Oblast,2010,809.0,62.9,False
Robbery without violence,Vladimir Oblast,2010,1310.0,90.4,False
Robbery without violence,Voronezh Oblast,2010,1251.0,53.6,False
Robbery without violence,Ivanovo Oblast,2010,1009.0,94.5,False
Robbery without violence,Kaluga Oblast,2010,626.0,61.7,False
Robbery without violence,Kostroma Oblast,2010,549.0,81.6,False
Robbery without violence,Kursk Oblast,2010,735.0,64.8,False
Robbery without violence,Lipetsk Oblast,2010,1067.0,90.7,False
Robbery without violence,Moscow Oblast,2010,6422.0,91.4,False
Robbery without violence,Oryol Oblast,2010,424.0,53.5,False
Robbery without violence,Ryazan Oblast,2010,425.0,36.6,False
Robbery without violence,Smolensk Oblast,2010,1096.0,110.4,False
Robbery without violence,Tambov Oblast,2010,388.0,35.3,False
Robbery without violence,Tver Oblast,2010,1360.0,99.6,False
Robbery without violence,Tula Oblast,2010,793.0,50.7,False
Robbery without violence,Yaroslavl Oblast,2010,1693.0,132.3,False
Robbery without violence,Moscow,2010,15129.0,132.9,False
Robbery without violence,Republic of Karelia,2010,624.0,96.2,False
Robbery without violence,Komi Republic,2010,1083.0,118.8,False
Robbery without violence,Arkhangelsk Oblast,2010,1518.0,127.0,False
Robbery without violence,Nenets Autonomous Okrug,2010,26.0,61.7,False
Robbery without violence,Vologda Oblast,2010,1380.0,114.2,False
Robbery without violence,Kaliningrad Oblast,2010,1075.0,114.5,False
Robbery without violence,Leningrad Oblast,2010,1627.0,95.4,False
Robbery without violence,Murmansk Oblast,2010,942.0,117.8,False
Robbery without violence,Novgorod Oblast,2010,640.0,100.0,False
Robbery without violence,Pskov Oblast,2010,558.0,81.8,False
Robbery without violence,Saint Petersburg,2010,5448.0,112.7,False
Robbery without violence,Republic of Dagestan,2010,361.0,12.6,False
Robbery without violence,Republic of Ingushetia,2010,9.0,2.2,False
Robbery without violence,Kabardino-Balkar Republic,2010,415.0,48.3,False
Robbery without violence,Karachay-Cherkess Republic,2010,147.0,31.0,False
Robbery without violence,Republic of North Ossetia-Alania,2010,231.0,32.5,False
Robbery without violence,Chechen Republic,2010,33.0,2.6,False
Robbery without violence,Stavropol Krai,2010,1567.0,56.4,False
Robbery without violence,Republic of Adygea,2010,219.0,49.8,False
Robbery without violence,Republic of Kalmykia,2010,139.0,48.0,False
Robbery without violence,Republic of Crimea,2010,,,False
Robbery without violence,Krasnodar Krai,2010,2384.0,45.7,False
Robbery without violence,Astrakhan Oblast,2010,1118.0,110.6,False
Robbery without violence,Volgograd Oblast,2010,2862.0,109.5,False
Robbery without violence,Rostov Oblast,2010,3454.0,80.6,False
Robbery without violence,Sevastopol,2010,,,False
Robbery without violence,Republic of Bashkortostan,2010,3261.0,80.2,False
Robbery without violence,Mari El Republic,2010,687.0,98.2,False
Robbery without violence,Republic of Mordovia,2010,221.0,26.3,False
Robbery without violence,Republic of Tatarstan,2010,3096.0,81.8,False
Robbery without violence,Udmurt Republic,2010,2958.0,194.0,False
Robbery without violence,Chuvash Republic,2010,1035.0,82.4,False
Robbery without violence,Perm Krai,2010,6781.0,256.0,False
Robbery without violence,Kirov Oblast,2010,1010.0,74.7,False
Robbery without violence,Nizhny Novgorod Oblast,2010,7526.0,226.2,False
Robbery without violence,Orenburg Oblast,2010,1976.0,96.8,False
Robbery without violence,Penza Oblast,2010,645.0,46.3,False
Robbery without violence,Samara Oblast,2010,6140.0,190.6,False
Robbery without violence,Saratov Oblast,2010,2431.0,95.9,False
Robbery without violence,Ulyanovsk Oblast,2010,1017.0,78.1,False
Robbery without violence,Kurgan Oblast,2010,848.0,92.3,False
Robbery without violence,Sverdlovsk Oblast,2010,6375.0,148.0,False
Robbery without violence,Tyumen Oblast,2010,2449.0,183.7,False
Robbery without violence,Khanty–Mansi Autonomous Okrug – Yugra,2010,1531.0,100.6,False
Robbery without violence,Yamalo-Nenets Autonomous Okrug,2010,275.0,52.5,False
Robbery without violence,Chelyabinsk Oblast,2010,6700.0,192.4,False
Robbery without violence,Altai Republic,2010,134.0,65.2,False
Robbery without violence,Republic of Buryatia,2010,1457.0,150.2,False
Robbery without violence,Tuva Republic,2010,357.0,116.2,False
Robbery without violence,Republic of Khakassia,2010,563.0,105.7,False
Robbery without violence,Altai Krai,2010,2270.0,93.4,False
