Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Intentional Bodily Harm,Oryol Oblast,2008,179.0,22.2,False
Intentional Bodily Harm,Ryazan Oblast,2008,219.0,18.6,False
Intentional Bodily Harm,Smolensk Oblast,2008,336.0,33.3,False
Intentional Bodily Harm,Tambov Oblast,2008,197.0,17.6,False
Intentional Bodily Harm,Tver Oblast,2008,446.0,32.2,False
Intentional Bodily Harm,Tula Oblast,2008,439.0,27.6,False
Intentional Bodily Harm,Yaroslavl Oblast,2008,358.0,27.7,False
Intentional Bodily Harm,Moscow,2008,1558.0,13.9,False
Intentional Bodily Harm,Republic of Karelia,2008,222.0,33.7,False
Intentional Bodily Harm,Komi Republic,2008,478.0,51.1,False
Intentional Bodily Harm,Arkhangelsk Oblast,2008,398.0,32.8,False
Intentional Bodily Harm,Nenets Autonomous Okrug,2008,24.0,57.3,False
Intentional Bodily Harm,Vologda Oblast,2008,479.0,39.3,False
Intentional Bodily Harm,Kaliningrad Oblast,2008,256.0,27.4,False
Intentional Bodily Harm,Leningrad Oblast,2008,546.0,32.3,False
Intentional Bodily Harm,Murmansk Oblast,2008,280.0,34.3,False
Intentional Bodily Harm,Novgorod Oblast,2008,217.0,33.3,False
Intentional Bodily Harm,Pskov Oblast,2008,236.0,33.7,False
Intentional Bodily Harm,Saint Petersburg,2008,690.0,14.5,False
Intentional Bodily Harm,Republic of Dagestan,2008,164.0,5.9,False
Intentional Bodily Harm,Republic of Ingushetia,2008,21.0,5.2,False
Intentional Bodily Harm,Kabardino-Balkar Republic,2008,92.0,10.7,False
Intentional Bodily Harm,Karachay-Cherkess Republic,2008,59.0,12.7,False
Intentional Bodily Harm,Republic of North Ossetia-Alania,2008,66.0,9.3,False
Intentional Bodily Harm,Chechen Republic,2008,28.0,2.3,False
Intentional Bodily Harm,Stavropol Krai,2008,555.0,20.1,False
Intentional Bodily Harm,Republic of Adygea,2008,72.0,16.4,False
Intentional Bodily Harm,Republic of Kalmykia,2008,62.0,21.3,False
Intentional Bodily Harm,Republic of Crimea,2008,,,False
Intentional Bodily Harm,Krasnodar Krai,2008,1032.0,20.0,False
Intentional Bodily Harm,Astrakhan Oblast,2008,254.0,25.3,False
Intentional Bodily Harm,Volgograd Oblast,2008,665.0,25.4,False
Intentional Bodily Harm,Rostov Oblast,2008,787.0,18.3,False
Intentional Bodily Harm,Sevastopol,2008,,,False
Intentional Bodily Harm,Republic of Bashkortostan,2008,1123.0,27.7,False
Intentional Bodily Harm,Mari El Republic,2008,237.0,33.6,False
Intentional Bodily Harm,Republic of Mordovia,2008,156.0,18.3,False
Intentional Bodily Harm,Republic of Tatarstan,2008,771.0,20.5,False
Intentional Bodily Harm,Udmurt Republic,2008,606.0,39.5,False
Intentional Bodily Harm,Chuvash Republic,2008,317.0,25.1,False
Intentional Bodily Harm,Perm Krai,2008,1619.0,60.5,False
Intentional Bodily Harm,Kirov Oblast,2008,335.0,24.3,False
Intentional Bodily Harm,Nizhny Novgorod Oblast,2008,801.0,23.8,False
Intentional Bodily Harm,Orenburg Oblast,2008,740.0,36.0,False
Intentional Bodily Harm,Penza Oblast,2008,273.0,19.4,False
Intentional Bodily Harm,Samara Oblast,2008,783.0,24.3,False
Intentional Bodily Harm,Saratov Oblast,2008,614.0,24.0,False
Intentional Bodily Harm,Ulyanovsk Oblast,2008,405.0,30.8,False
Intentional Bodily Harm,Kurgan Oblast,2008,353.0,37.8,False
Intentional Bodily Harm,Sverdlovsk Oblast,2008,1771.0,41.0,False
Intentional Bodily Harm,Tyumen Oblast,2008,706.0,53.7,False
